Data,municipio,População,Casos,Fatalidades
2020-03-27,Sorocaba,679378,0,0
2020-03-28,Sorocaba,679378,3,1
2020-03-29,Sorocaba,679378,0,0
2020-03-30,Sorocaba,679378,0,0
2020-03-31,Sorocaba,679378,0,0
2020-04-01,Sorocaba,679378,0,0
2020-04-02,Sorocaba,679378,0,0
2020-04-03,Sorocaba,679378,5,1
2020-04-04,Sorocaba,679378,0,0
2020-04-05,Sorocaba,679378,1,0
2020-04-06,Sorocaba,679378,1,0
2020-04-07,Sorocaba,679378,1,0
2020-04-08,Sorocaba,679378,2,0
2020-04-09,Sorocaba,679378,4,0
2020-04-10,Sorocaba,679378,1,0
2020-04-11,Sorocaba,679378,2,0
2020-04-12,Sorocaba,679378,0,0
2020-04-13,Sorocaba,679378,4,0
2020-04-14,Sorocaba,679378,1,0
2020-04-15,Sorocaba,679378,4,1
2020-04-16,Sorocaba,679378,7,2
2020-04-17,Sorocaba,679378,3,1
2020-04-18,Sorocaba,679378,2,2
2020-04-19,Sorocaba,679378,6,1
2020-04-20,Sorocaba,679378,3,0
2020-04-21,Sorocaba,679378,6,3
2020-04-22,Sorocaba,679378,0,0
2020-04-23,Sorocaba,679378,2,0
2020-04-24,Sorocaba,679378,-1,0
2020-04-25,Sorocaba,679378,22,3
2020-04-26,Sorocaba,679378,5,0
2020-04-27,Sorocaba,679378,1,0
2020-04-28,Sorocaba,679378,16,4
2020-04-29,Sorocaba,679378,16,1
2020-04-30,Sorocaba,679378,9,1
2020-05-01,Sorocaba,679378,2,0
2020-05-02,Sorocaba,679378,8,0
2020-05-03,Sorocaba,679378,1,0
2020-05-04,Sorocaba,679378,2,0
2020-05-05,Sorocaba,679378,6,0
2020-05-06,Sorocaba,679378,27,2
2020-05-07,Sorocaba,679378,10,0
2020-05-08,Sorocaba,679378,19,1
2020-05-09,Sorocaba,679378,36,1
2020-05-10,Sorocaba,679378,2,0
2020-05-11,Sorocaba,679378,1,0
2020-05-12,Sorocaba,679378,6,2
2020-05-13,Sorocaba,679378,74,1
2020-05-14,Sorocaba,679378,27,1
2020-05-15,Sorocaba,679378,46,0
2020-05-16,Sorocaba,679378,25,0
2020-05-17,Sorocaba,679378,12,0
2020-05-18,Sorocaba,679378,15,0
2020-05-19,Sorocaba,679378,24,0
2020-05-20,Sorocaba,679378,73,0
2020-05-21,Sorocaba,679378,24,1
2020-05-22,Sorocaba,679378,47,4
2020-05-23,Sorocaba,679378,15,3
2020-05-24,Sorocaba,679378,38,0
2020-05-25,Sorocaba,679378,21,0
2020-05-26,Sorocaba,679378,3,0
2020-05-27,Sorocaba,679378,38,3
2020-05-28,Sorocaba,679378,73,1
2020-05-29,Sorocaba,679378,50,2
2020-05-30,Sorocaba,679378,60,1
2020-05-31,Sorocaba,679378,9,0
2020-06-01,Sorocaba,679378,0,0
2020-06-02,Sorocaba,679378,81,4
2020-06-03,Sorocaba,679378,83,3
2020-06-04,Sorocaba,679378,58,2
2020-06-05,Sorocaba,679378,61,3
2020-06-06,Sorocaba,679378,69,1
2020-06-07,Sorocaba,679378,1,0
2020-06-08,Sorocaba,679378,6,1
2020-06-09,Sorocaba,679378,43,5
2020-06-10,Sorocaba,679378,39,8
2020-06-11,Sorocaba,679378,50,1
2020-06-12,Sorocaba,679378,59,1
2020-06-13,Sorocaba,679378,10,0
2020-06-14,Sorocaba,679378,69,0
2020-06-15,Sorocaba,679378,19,1
2020-06-16,Sorocaba,679378,106,1
2020-06-17,Sorocaba,679378,26,9
2020-06-18,Sorocaba,679378,0,0
2020-06-19,Sorocaba,679378,267,4
2020-06-20,Sorocaba,679378,113,1
2020-06-21,Sorocaba,679378,87,0
2020-06-22,Sorocaba,679378,48,0
2020-06-23,Sorocaba,679378,249,6
2020-06-24,Sorocaba,679378,199,3
2020-06-25,Sorocaba,679378,282,7
2020-06-26,Sorocaba,679378,244,6
2020-06-27,Sorocaba,679378,236,4
2020-06-28,Sorocaba,679378,551,0
2020-06-29,Sorocaba,679378,272,0
2020-06-30,Sorocaba,679378,52,7
2020-07-01,Sorocaba,679378,240,3
2020-07-02,Sorocaba,679378,288,5
2020-07-03,Sorocaba,679378,199,4
2020-07-04,Sorocaba,679378,24,3
2020-07-05,Sorocaba,679378,136,0
2020-07-06,Sorocaba,679378,131,0
2020-07-07,Sorocaba,679378,143,13
2020-07-08,Sorocaba,679378,75,2
2020-07-09,Sorocaba,679378,269,4
2020-07-10,Sorocaba,679378,163,2
2020-07-11,Sorocaba,679378,279,4
2020-07-12,Sorocaba,679378,116,0
2020-07-13,Sorocaba,679378,117,0
2020-07-14,Sorocaba,679378,198,9
2020-07-15,Sorocaba,679378,81,3
2020-07-16,Sorocaba,679378,185,4
2020-07-17,Sorocaba,679378,86,5
2020-07-18,Sorocaba,679378,36,2
2020-07-19,Sorocaba,679378,16,0
2020-07-20,Sorocaba,679378,17,0
2020-07-21,Sorocaba,679378,190,8
2020-07-22,Sorocaba,679378,578,6
2020-07-23,Sorocaba,679378,266,11
2020-07-24,Sorocaba,679378,172,9
2020-07-25,Sorocaba,679378,140,4
2020-07-26,Sorocaba,679378,79,0
2020-07-27,Sorocaba,679378,34,0
2020-07-28,Sorocaba,679378,0,0
2020-07-29,Sorocaba,679378,506,15
2020-07-30,Sorocaba,679378,320,6
2020-07-31,Sorocaba,679378,147,7
